[     705ms] [WARNING] [Terminal] WebSocket not ready, message not sent: {checkActive: force} @ http://100.99.60.106:8000/build/assets/app-BNvJoPaw.js:8
[  525678ms] [ERROR] WebSocket connection to 'ws://soketi:6001/app/0eb10a24c9fe3c3ccdcf073d0f826406?protocol=7&client=js&version=8.3.0&flash=false' failed: Error in connection establishment: net::ERR_NAME_NOT_RESOLVED @ http://100.99.60.106:8000/js/pusher.js:8
[  527664ms] [ERROR] WebSocket connection to 'wss://soketi:6001/app/0eb10a24c9fe3c3ccdcf073d0f826406?protocol=7&client=js&version=8.3.0&flash=false' failed: Error in connection establishment: net::ERR_NAME_NOT_RESOLVED @ http://100.99.60.106:8000/js/pusher.js:8
[  585669ms] [ERROR] WebSocket connection to 'ws://soketi:6001/app/0eb10a24c9fe3c3ccdcf073d0f826406?protocol=7&client=js&version=8.3.0&flash=false' failed: Error in connection establishment: net::ERR_NAME_NOT_RESOLVED @ http://100.99.60.106:8000/js/pusher.js:8
[  587668ms] [ERROR] WebSocket connection to 'wss://soketi:6001/app/0eb10a24c9fe3c3ccdcf073d0f826406?protocol=7&client=js&version=8.3.0&flash=false' failed: Error in connection establishment: net::ERR_NAME_NOT_RESOLVED @ http://100.99.60.106:8000/js/pusher.js:8
[  645691ms] [ERROR] WebSocket connection to 'ws://soketi:6001/app/0eb10a24c9fe3c3ccdcf073d0f826406?protocol=7&client=js&version=8.3.0&flash=false' failed: Error in connection establishment: net::ERR_NAME_NOT_RESOLVED @ http://100.99.60.106:8000/js/pusher.js:8
[  647668ms] [ERROR] WebSocket connection to 'wss://soketi:6001/app/0eb10a24c9fe3c3ccdcf073d0f826406?protocol=7&client=js&version=8.3.0&flash=false' failed: Error in connection establishment: net::ERR_NAME_NOT_RESOLVED @ http://100.99.60.106:8000/js/pusher.js:8
[  705674ms] [ERROR] WebSocket connection to 'ws://soketi:6001/app/0eb10a24c9fe3c3ccdcf073d0f826406?protocol=7&client=js&version=8.3.0&flash=false' failed: Error in connection establishment: net::ERR_NAME_NOT_RESOLVED @ http://100.99.60.106:8000/js/pusher.js:8
[  707681ms] [ERROR] WebSocket connection to 'wss://soketi:6001/app/0eb10a24c9fe3c3ccdcf073d0f826406?protocol=7&client=js&version=8.3.0&flash=false' failed: Error in connection establishment: net::ERR_NAME_NOT_RESOLVED @ http://100.99.60.106:8000/js/pusher.js:8
[  765686ms] [ERROR] WebSocket connection to 'ws://soketi:6001/app/0eb10a24c9fe3c3ccdcf073d0f826406?protocol=7&client=js&version=8.3.0&flash=false' failed: Error in connection establishment: net::ERR_NAME_NOT_RESOLVED @ http://100.99.60.106:8000/js/pusher.js:8
[  767675ms] [ERROR] WebSocket connection to 'wss://soketi:6001/app/0eb10a24c9fe3c3ccdcf073d0f826406?protocol=7&client=js&version=8.3.0&flash=false' failed: Error in connection establishment: net::ERR_NAME_NOT_RESOLVED @ http://100.99.60.106:8000/js/pusher.js:8
